classification,ingredient_name,specification,product_name,manufacturer,price
内用薬,ブロモバレリル尿素,１ｇ,ブロモバレリル尿素,,7.50 
内用薬,抱水クロラール,１ｇ,抱水クロラール,,36.90 
内用薬,エスタゾラム,１％１ｇ,ユーロジン散１％,武田テバ薬品,37.40 
内用薬,エスタゾラム,１ｍｇ１錠,ユーロジン１ｍｇ錠,武田テバ薬品,6.10 
内用薬,エスタゾラム,１ｍｇ１錠,エスタゾラム錠１ｍｇ「アメル」,共和薬品工業,6.10 
内用薬,エスタゾラム,２ｍｇ１錠,エスタゾラム２ｍｇ錠,,6.60 
内用薬,エスタゾラム,２ｍｇ１錠,ユーロジン２ｍｇ錠,武田テバ薬品,8.40 
内用薬,フルラゼパム塩酸塩,１５ｍｇ１カプセル,ダルメートカプセル１５,共和薬品工業,7.20 
内用薬,ニトラゼパム,１％１ｇ,ネルボン散１％,アルフレッサファーマ,10.60 
内用薬,ニトラゼパム,１％１ｇ,ベンザリン細粒１％,共和薬品工業,16.20 
内用薬,ニトラゼパム,１％１ｇ,ニトラゼパム細粒１％「ＴＣＫ」,辰巳化学,16.20 
内用薬,ニトラゼパム,２ｍｇ１錠,ベンザリン錠２,共和薬品工業,6.10 
内用薬,ニトラゼパム,５ｍｇ１錠,ニトラゼパム５ｍｇ錠,,5.70 
内用薬,ニトラゼパム,５ｍｇ１錠,ベンザリン錠５,共和薬品工業,7.80 
内用薬,ニトラゼパム,５ｍｇ１錠,ネルボン錠５ｍｇ,アルフレッサファーマ,7.10 
内用薬,ニトラゼパム,１０ｍｇ１錠,ニトラゼパム１０ｍｇ錠,,5.90 
内用薬,ニトラゼパム,１０ｍｇ１錠,ネルボン錠１０ｍｇ,アルフレッサファーマ,12.40 
内用薬,ニトラゼパム,１０ｍｇ１錠,ベンザリン錠１０,共和薬品工業,12.40 
内用薬,ハロキサゾラム,１％１ｇ,ソメリン細粒１％,アルフレッサファーマ,18.20 
内用薬,ハロキサゾラム,５ｍｇ１錠,ソメリン錠５ｍｇ,アルフレッサファーマ,12.10 
内用薬,ハロキサゾラム,１０ｍｇ１錠,ソメリン錠１０ｍｇ,アルフレッサファーマ,15.40 
内用薬,トリアゾラム,０．１２５ｍｇ１錠,トリアゾラム０．１２５ｍｇ錠,,5.90 
内用薬,トリアゾラム,０．１２５ｍｇ１錠,ハルシオン０．１２５ｍｇ錠,ファイザー,6.10 
内用薬,トリアゾラム,０．２５ｍｇ１錠,トリアゾラム０．２５ｍｇ錠,,6.10 
内用薬,トリアゾラム,０．２５ｍｇ１錠,ハルシオン０．２５ｍｇ錠,ファイザー,7.80 
内用薬,フルニトラゼパム,１ｍｇ１錠,フルニトラゼパム１ｍｇ錠,,5.90 
内用薬,フルニトラゼパム,１ｍｇ１錠,サイレース錠１ｍｇ,エーザイ,7.40 
内用薬,フルニトラゼパム,２ｍｇ１錠,フルニトラゼパム２ｍｇ錠,,6.10 
内用薬,フルニトラゼパム,２ｍｇ１錠,サイレース錠２ｍｇ,エーザイ,8.60 
内用薬,ブロチゾラム,０．２５ｍｇ１錠,ブロチゾラム０．２５ｍｇ錠,,10.40 
内用薬,ブロチゾラム,０．２５ｍｇ１錠,レンドルミン錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,10.60 
内用薬,ブロチゾラム,０．２５ｍｇ１錠,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,,10.40 
内用薬,ブロチゾラム,０．２５ｍｇ１錠,レンドルミンＤ錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,10.60 
内用薬,ロルメタゼパム,１ｍｇ１錠,エバミール錠１．０,丸石製薬,10.90 
内用薬,ロルメタゼパム,１ｍｇ１錠,ロラメット錠１．０,あすか製薬,13.80 
内用薬,オキサゾラム,１０％１ｇ,セレナール散１０％,アルフレッサファーマ,24.20 
内用薬,オキサゾラム,５ｍｇ１錠,セレナール錠５,アルフレッサファーマ,5.90 
内用薬,オキサゾラム,１０ｍｇ１錠,セレナール錠１０,アルフレッサファーマ,6.00 
内用薬,クロキサゾラム,１％１ｇ,セパゾン散１％,アルフレッサファーマ,17.40 
内用薬,クロキサゾラム,１ｍｇ１錠,セパゾン錠１,アルフレッサファーマ,5.90 
内用薬,クロキサゾラム,２ｍｇ１錠,セパゾン錠２,アルフレッサファーマ,6.00 
内用薬,クロラゼプ酸二カリウム,７．５ｍｇ１カプセル,メンドンカプセル７．５ｍｇ,ヴィアトリス製薬,10.40 
内用薬,ジアゼパム,１％１ｇ,セルシン散１％,武田テバ薬品,9.70 
内用薬,ジアゼパム,１％１ｇ,ホリゾン散１％,丸石製薬,11.50 
内用薬,ジアゼパム,２ｍｇ１錠,ジアゼパム２ｍｇ錠,,5.90 
内用薬,ジアゼパム,２ｍｇ１錠,２ｍｇセルシン錠,武田テバ薬品,6.20 
内用薬,ジアゼパム,２ｍｇ１錠,ホリゾン錠２ｍｇ,丸石製薬,6.20 
内用薬,ジアゼパム,５ｍｇ１錠,ジアゼパム５ｍｇ錠,,6.00 
内用薬,ジアゼパム,５ｍｇ１錠,５ｍｇセルシン錠,武田テバ薬品,9.70 
内用薬,ジアゼパム,５ｍｇ１錠,ホリゾン錠５ｍｇ,丸石製薬,9.70 
内用薬,ジアゼパム,１０ｍｇ１錠,１０ｍｇセルシン錠,武田テバ薬品,11.30 
内用薬,ジアゼパム,１０ｍｇ１錠,ジアゼパム錠１０ｍｇ「ツルハラ」,鶴原製薬,5.90 
内用薬,ブロマゼパム,１％１ｇ,レキソタン細粒１％,サンドファーマ,14.90 
内用薬,ブロマゼパム,１％１ｇ,ブロマゼパム細粒１％「サンド」,サンド,15.50 
内用薬,ブロマゼパム,１ｍｇ１錠,レキソタン錠１,サンドファーマ,5.90 
内用薬,ブロマゼパム,１ｍｇ１錠,ブロマゼパム錠１ｍｇ「サンド」,サンド,5.90 
内用薬,ブロマゼパム,２ｍｇ１錠,レキソタン錠２,サンドファーマ,6.10 
内用薬,ブロマゼパム,２ｍｇ１錠,ブロマゼパム錠２ｍｇ「サンド」,サンド,5.90 
内用薬,ブロマゼパム,３ｍｇ１錠,ブロマゼパム錠３ｍｇ「サンド」,サンド,6.10 
内用薬,ブロマゼパム,５ｍｇ１錠,ブロマゼパム５ｍｇ錠,,6.10 
内用薬,ブロマゼパム,５ｍｇ１錠,レキソタン錠５,サンドファーマ,7.00 
内用薬,メダゼパム,２ｍｇ１錠,メダゼパム錠２（ツルハラ）,鶴原製薬,8.30 
内用薬,メダゼパム,２ｍｇ１錠,レスミット錠２,共和薬品工業,5.90 
内用薬,メダゼパム,５ｍｇ１錠,メダゼパム錠５（ツルハラ）,鶴原製薬,5.90 
内用薬,メダゼパム,５ｍｇ１錠,レスミット錠５,共和薬品工業,5.90 
内用薬,ロラゼパム,０．５ｍｇ１錠,ワイパックス錠０．５,ファイザー,6.10 
内用薬,ロラゼパム,０．５ｍｇ１錠,ロラゼパム錠０．５ｍｇ「サワイ」,沢井製薬,5.30 
内用薬,ロラゼパム,１ｍｇ１錠,ロラゼパム１ｍｇ錠,,5.90 
内用薬,ロラゼパム,１ｍｇ１錠,ワイパックス錠１．０,ファイザー,6.10 
内用薬,アルプラゾラム,０．４ｍｇ１錠,アルプラゾラム０．４ｍｇ錠,,5.90 
内用薬,アルプラゾラム,０．４ｍｇ１錠,コンスタン０．４ｍｇ錠,武田テバ薬品,6.10 
内用薬,アルプラゾラム,０．４ｍｇ１錠,ソラナックス０．４ｍｇ錠,ヴィアトリス製薬,6.10 
内用薬,アルプラゾラム,０．８ｍｇ１錠,アルプラゾラム０．８ｍｇ錠,,6.10 
内用薬,アルプラゾラム,０．８ｍｇ１錠,コンスタン０．８ｍｇ錠,武田テバ薬品,7.70 
内用薬,アルプラゾラム,０．８ｍｇ１錠,ソラナックス０．８ｍｇ錠,ヴィアトリス製薬,7.60 
内用薬,アルプラゾラム,０．８ｍｇ１錠,アルプラゾラム錠０．８ｍｇ「アメル」,共和薬品工業,8.20 
内用薬,メキサゾラム,０．１％１ｇ,メレックス細粒０．１％,アルフレッサファーマ,10.80 
内用薬,メキサゾラム,０．５ｍｇ１錠,メレックス錠０．５ｍｇ,アルフレッサファーマ,6.10 
内用薬,メキサゾラム,１ｍｇ１錠,メレックス錠１ｍｇ,アルフレッサファーマ,7.90 
内用薬,トフィソパム,１０％１ｇ,トフィソパム細粒１０％「ツルハラ」,鶴原製薬,10.40 
内用薬,トフィソパム,５０ｍｇ１錠,トフィソパム５０ｍｇ錠,,6.10 
内用薬,トフィソパム,５０ｍｇ１錠,グランダキシン錠５０,持田製薬,8.20 
内用薬,クロルジアゼポキシド,１％１ｇ,クロルジアゼポキシド散,,7.70 
内用薬,クロルジアゼポキシド,１％１ｇ,クロルジアゼポキシド散１％「ツルハラ」,鶴原製薬,11.00 
内用薬,クロルジアゼポキシド,１０％１ｇ,クロルジアゼポキシド散,,30.60 
内用薬,クロルジアゼポキシド,５ｍｇ１錠,クロルジアゼポキシド錠,,10.10 
内用薬,クロルジアゼポキシド,１０ｍｇ１錠,クロルジアゼポキシド錠,,10.10 
内用薬,ロフラゼプ酸エチル,１％１ｇ,メイラックス細粒１％,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,123.60 
内用薬,ロフラゼプ酸エチル,１ｍｇ１錠,ロフラゼプ酸エチル１ｍｇ錠,,6.10 
内用薬,ロフラゼプ酸エチル,１ｍｇ１錠,メイラックス錠１ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,10.40 
内用薬,ロフラゼプ酸エチル,２ｍｇ１錠,ロフラゼプ酸エチル２ｍｇ錠,,9.60 
内用薬,ロフラゼプ酸エチル,２ｍｇ１錠,メイラックス錠２ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,15.10 
内用薬,クアゼパム,１５ｍｇ１錠,クアゼパム１５ｍｇ錠,,21.70 
内用薬,クアゼパム,１５ｍｇ１錠,ドラール錠１５,久光製薬,43.50 
内用薬,クアゼパム,１５ｍｇ１錠,クアゼパム錠１５ｍｇ「ＭＮＰ」,日新製薬（山形）,28.00 
内用薬,クアゼパム,１５ｍｇ１錠,クアゼパム錠１５ｍｇ「トーワ」,東和薬品,28.00 
内用薬,クアゼパム,１５ｍｇ１錠,クアゼパム錠１５ｍｇ「日医工」,日医工,28.00 
内用薬,クアゼパム,２０ｍｇ１錠,クアゼパム２０ｍｇ錠,,27.80 
内用薬,クアゼパム,２０ｍｇ１錠,ドラール錠２０,久光製薬,53.60 
内用薬,クアゼパム,２０ｍｇ１錠,クアゼパム錠２０ｍｇ「ＭＮＰ」,日新製薬（山形）,32.90 
内用薬,クアゼパム,２０ｍｇ１錠,クアゼパム錠２０ｍｇ「トーワ」,東和薬品,32.90 
内用薬,クアゼパム,２０ｍｇ１錠,クアゼパム錠２０ｍｇ「日医工」,日医工,32.90 
内用薬,アモバルビタール,１ｇ,アモバルビタール,,39.50 
内用薬,バルビタール,１ｇ,バルビタール,,10.00 
内用薬,フェノバルビタール,１０％１ｇ,フェノバルビタール散１０％,,7.50 
内用薬,フェノバルビタール,１０％１ｇ,フェノバール散１０％,藤永製薬,7.70 
内用薬,フェノバルビタール,１ｇ,フェノバルビタール,,46.30 
内用薬,フェノバルビタール,３０ｍｇ１錠,フェノバール錠３０ｍｇ,藤永製薬,10.40 
内用薬,フェノバルビタール,０．４％１ｍＬ,フェノバールエリキシル０．４％,藤永製薬,2.50 
内用薬,ペントバルビタールカルシウム,５０ｍｇ１錠,ラボナ錠５０ｍｇ,田辺三菱製薬,9.20 
内用薬,臭化カリウム,１０ｇ,臭化カリウム,,82.60 
内用薬,臭化ナトリウム,１０ｇ,臭化ナトリウム,,83.50 
内用薬,トリクロホスナトリウム,１０％１ｍＬ,トリクロリールシロップ１０％,アルフレッサファーマ,10.50 
内用薬,リルマザホン塩酸塩水和物,１ｍｇ１錠,リスミー錠１ｍｇ,共和薬品工業,10.40 
内用薬,リルマザホン塩酸塩水和物,２ｍｇ１錠,リスミー錠２ｍｇ,共和薬品工業,16.20 
内用薬,ゾピクロン,７．５ｍｇ１錠,ゾピクロン７．５ｍｇ錠,,6.70 
内用薬,ゾピクロン,７．５ｍｇ１錠,アモバン錠７．５,サノフィ,11.80 
内用薬,ゾピクロン,１０ｍｇ１錠,ゾピクロン１０ｍｇ錠,,7.50 
内用薬,ゾピクロン,１０ｍｇ１錠,アモバン錠１０,サノフィ,12.90 
内用薬,タンドスピロンクエン酸塩,５ｍｇ１錠,タンドスピロンクエン酸塩５ｍｇ錠,,6.10 
